long,lat,alt,x,y,pre_value,meanTem,meanPre,popdensity,mean
-3.316666667,41.48333333,994.02,473563.3309,4592462.298,87.7728745,12.07,648.16,11.8,14.11978261
-3.15,41.48333333,981.71,487477.3734,4592424.764,86.72191804,12.07,648.16,11.8,14.11978261
-2.983333333,41.48333333,982.4175,501391.4028,4592414.04,86.76080433,12.07,648.16,11.8,14.11978261
-2.816666667,41.48333333,971.725,515305.4336,4592430.126,85.83043731,12.07,648.16,11.8,14.11978261
-2.65,41.48333333,995.88,529219.4805,4592473.023,87.80653258,12.07,648.16,11.8,14.11978261
-2.483333333,41.48333333,997.8625,543133.5583,4592542.731,87.91682324,12.07,648.16,11.8,14.11978261
-2.316666667,41.48333333,1063.5775,557047.6815,4592639.252,93.40506408,12.07,648.16,11.8,14.11978261
-2.15,41.48333333,965.515,570961.8648,4592762.588,85.11924243,12.07,648.16,11.8,14.11978261
-1.983333333,41.48333333,980.595,584876.1228,4592912.741,86.35419828,12.07,648.16,11.8,14.11978261
-6.316666667,41.31666667,711.6342105,222382.3988,4579219.207,64.00929933,12.07,648.16,11.8,14.11978261
-6.15,41.31666667,781.5275,236334.9004,4578698.812,69.81962616,12.07,648.16,11.8,14.11978261
-5.983333333,41.31666667,808.4325,250287.1141,4578205.304,72.00136449,12.07,648.16,11.8,14.11978261
-5.816666667,41.31666667,812.1075,264239.055,4577738.674,72.22316076,12.07,648.16,11.8,14.11978261
-5.65,41.31666667,813.2775,278190.738,4577298.912,72.3178198,12.07,648.16,11.8,14.11978261
-5.483333333,41.31666667,773.1275,292142.1781,4576886.01,68.94356823,12.07,648.16,11.8,14.11978261
-5.316666667,41.31666667,757.9275,306093.3904,4576499.958,67.67389225,12.07,648.16,11.8,14.11978261
-5.15,41.31666667,745.885,320044.3901,4576140.75,66.68260115,12.07,648.16,11.8,14.11978261
-4.983333333,41.31666667,744.2375,333995.1922,4575808.377,66.59307134,12.07,648.16,11.8,14.11978261
-4.816666667,41.31666667,744.485,347945.8119,4575502.832,66.6654626,12.07,648.16,11.8,14.11978261
-4.65,41.31666667,763.0525,361896.2646,4575224.111,68.28150511,12.07,648.16,11.8,14.11978261
-4.483333333,41.31666667,773.2775,375846.5653,4574972.207,69.19627897,12.07,648.16,11.8,14.11978261
-4.316666667,41.31666667,809.2,389796.7294,4574747.114,72.26544147,12.07,648.16,11.8,14.11978261
-4.15,41.31666667,866.02,403746.7721,4574548.829,77.09296405,12.07,648.16,11.8,14.11978261
-3.983333333,41.31666667,899.175,417696.7088,4574377.347,79.91305049,12.07,648.16,11.8,14.11978261
-3.816666667,41.31666667,1009.0125,431646.5548,4574232.666,89.15160372,12.07,648.16,11.8,14.11978261
-3.65,41.31666667,1007.5175,445596.3255,4574114.78,88.98952101,12.07,648.16,11.8,14.11978261
-3.483333333,41.31666667,1147.1925,459546.0362,4574023.69,100.7254848,12.07,648.16,11.8,14.11978261
-3.316666667,41.31666667,1252.165,473495.7023,4573959.392,109.5528725,12.07,648.16,11.8,14.11978261
-3.15,41.31666667,1282.085,487445.3391,4573921.885,112.0618131,12.07,648.16,11.8,14.11978261
